time,open,high,low,close,base_asset_volume,number_of_trades,quote_asset_volume
2021-06-24T13:00:00.000Z,0.24219,0.24272,0.2385,0.23925,11429494.8,7537,5880796.731934
2021-06-24T13:15:00.000Z,0.23926,0.23968,0.23626,0.23807,13414211.9,9629,6538715.240179
2021-06-24T13:30:00.000Z,0.23809,0.24003,0.23721,0.23926,15206606.8,7823,6640697.429399
2021-06-24T13:45:00.000Z,0.23921,0.24011,0.23765,0.23956,8574884.2,5998,4251910.28078
2021-06-24T14:00:00.000Z,0.23956,0.24068,0.23606,0.23769,12428163.7,7741,6126891.444667
2021-06-24T14:15:00.000Z,0.23765,0.2387,0.23693,0.23809,8077598.1,4510,3248940.307541
2021-06-24T14:30:00.000Z,0.23807,0.2396,0.2378,0.23828,8213969.9,5253,4207427.515998
2021-06-24T14:45:00.000Z,0.23828,0.23987,0.2375,0.23982,6804320.3,5391,3298970.947416
2021-06-24T15:00:00.000Z,0.23984,0.2438,0.2392,0.24336,22805706.4,14290,9992448.291884
2021-06-24T15:15:00.000Z,0.24341,0.245,0.24109,0.244,17926952.1,13030,8630051.595289
2021-06-24T15:30:00.000Z,0.244,0.246,0.24266,0.243,22407478.8,13850,10302477.381811
2021-06-24T15:45:00.000Z,0.24301,0.24311,0.2381,0.2394,20665382.3,14095,11308224.045095
2021-06-24T16:00:00.000Z,0.23941,0.2406,0.237,0.23811,18822319.7,12993,10071820.588326
2021-06-24T16:15:00.000Z,0.23829,0.24132,0.23775,0.23996,9760941.1,6606,4839146.057902
2021-06-24T16:30:00.000Z,0.23996,0.24379,0.23996,0.2431,12341448.1,9529,5900489.288327
2021-06-24T16:45:00.000Z,0.24314,0.24442,0.24305,0.24412,13216118.9,8149,5959655.469479
2021-06-24T17:00:00.000Z,0.24411,0.24746,0.24339,0.24493,36469233.1,23814,17847178.355824
2021-06-24T17:15:00.000Z,0.24494,0.24657,0.243,0.24496,11677933.2,8701,6184438.018229
2021-06-24T17:30:00.000Z,0.24498,0.24681,0.24365,0.24465,17573411.3,8331,7856176.018007
2021-06-24T17:45:00.000Z,0.24465,0.24579,0.24224,0.24561,13716954.4,7670,6300769.925689
2021-06-24T18:00:00.000Z,0.2456,0.24762,0.24428,0.24456,18272497.6,10967,8621123.759577
2021-06-24T18:15:00.000Z,0.24464,0.2468,0.24411,0.24651,11242558.8,5493,4681241.69187
2021-06-24T18:30:00.000Z,0.24651,0.2488,0.24543,0.24848,21020789.7,11882,9152103.442907
2021-06-24T18:45:00.000Z,0.24849,0.25025,0.24698,0.24935,29968213.7,16871,12598269.767881
2021-06-24T19:00:00.000Z,0.24952,0.25381,0.248,0.25367,29149461.3,20197,14115970.501652
2021-06-24T19:15:00.000Z,0.2537,0.25807,0.2527,0.25399,45545436.9,31900,23034620.947263
2021-06-24T19:30:00.000Z,0.25385,0.256,0.2514,0.25236,23907123.2,13376,13037389.978556
2021-06-24T19:45:00.000Z,0.25237,0.254,0.25025,0.254,27089823.6,11884,11279289.759397
2021-06-24T20:00:00.000Z,0.254,0.25604,0.25354,0.25461,28930251.3,12606,11993335.079613
2021-06-24T20:15:00.000Z,0.2546,0.25607,0.25255,0.2526,12540597.7,8710,6303217.398625
2021-06-24T20:30:00.000Z,0.2526,0.2554,0.25138,0.25509,13102935.3,8759,6321706.506429
2021-06-24T20:45:00.000Z,0.25508,0.25655,0.25371,0.25553,14006315.4,8725,6296084.901987
2021-06-24T21:00:00.000Z,0.25557,0.25573,0.25284,0.2539,6159585.7,5316,3359429.015088
2021-06-24T21:15:00.000Z,0.25386,0.25898,0.25386,0.25875,19888695.4,13665,9278232.706619
2021-06-24T21:30:00.000Z,0.25875,0.26,0.25742,0.25871,27285570.9,11958,12066551.532085
2021-06-24T21:45:00.000Z,0.25872,0.26694,0.25872,0.26519,64919884.4,35434,27532499.640168
2021-06-24T22:00:00.000Z,0.26519,0.26925,0.26287,0.26483,47765086.5,34862,26268661.779903
2021-06-24T22:15:00.000Z,0.26483,0.266,0.26138,0.26289,28100548.2,18488,15382498.419436
2021-06-24T22:30:00.000Z,0.26289,0.2644,0.26037,0.26192,18277491.4,12491,9309586.423003
2021-06-24T22:45:00.000Z,0.26184,0.26537,0.26095,0.26451,20304149.1,12663,10795906.392485
2021-06-24T23:00:00.000Z,0.26444,0.26486,0.26123,0.26367,10292100.2,8550,5610080.902289
2021-06-24T23:15:00.000Z,0.26371,0.265,0.26251,0.26322,9730387.1,6960,4840305.717573
2021-06-24T23:30:00.000Z,0.26337,0.26953,0.26323,0.2636,24508288.3,15942,12031529.838237
2021-06-24T23:45:00.000Z,0.26356,0.26458,0.261,0.26377,17245413.9,10104,8065593.223271
2021-06-25T00:00:00.000Z,0.26374,0.26825,0.26373,0.26526,30149511.2,18641,14718715.722676
2021-06-25T00:00:00.000Z,0.26374,0.26825,0.26373,0.26526,30149511.2,18641,14718715.722676
2021-06-25T00:15:00.000Z,0.26526,0.27428,0.26319,0.27189,47612057.5,35965,23718075.73264
2021-06-25T00:15:00.000Z,0.26526,0.27428,0.26319,0.27189,47612057.5,35965,23718075.73264
2021-06-25T00:30:00.000Z,0.27178,0.27568,0.26985,0.27464,32886011.7,22829,18835765.826043
2021-06-25T00:30:00.000Z,0.27178,0.27568,0.26985,0.27464,32886011.7,22829,18835765.826043
2021-06-25T00:45:00.000Z,0.27464,0.2779,0.26912,0.26933,33117092.3,31160,21091383.793031
2021-06-25T00:45:00.000Z,0.27464,0.2779,0.26912,0.26933,33117092.3,31160,21091383.793031
2021-06-25T01:00:00.000Z,0.2693,0.27039,0.26358,0.26453,31178192.3,23250,17200018.802229
2021-06-25T01:00:00.000Z,0.2693,0.27039,0.26358,0.26453,31178192.3,23250,17200018.802229
2021-06-25T01:15:00.000Z,0.26453,0.26823,0.2645,0.26739,18696421.8,12561,9229473.764672
2021-06-25T01:15:00.000Z,0.26453,0.26823,0.2645,0.26739,18696421.8,12561,9229473.764672
2021-06-25T01:30:00.000Z,0.26744,0.27117,0.26722,0.26938,17460937.8,12966,9190926.557085
2021-06-25T01:30:00.000Z,0.26744,0.27117,0.26722,0.26938,17460937.8,12966,9190926.557085
2021-06-25T01:45:00.000Z,0.26931,0.27469,0.26801,0.2742,23314551.5,18666,11496307.333208
2021-06-25T01:45:00.000Z,0.26931,0.27469,0.26801,0.2742,23314551.5,18666,11496307.333208
2021-06-25T02:00:00.000Z,0.27423,0.27938,0.27374,0.27855,49356506.7,37176,25014639.352247
2021-06-25T02:00:00.000Z,0.27423,0.27938,0.27374,0.27855,49356506.7,37176,25014639.352247
2021-06-25T02:15:00.000Z,0.27859,0.28,0.27599,0.27864,37060951.1,25192,18900190.417529
2021-06-25T02:15:00.000Z,0.27859,0.28,0.27599,0.27864,37060951.1,25192,18900190.417529
