#Path,Method,action,kind,sub,OperationName,OperationNameAlt,Description,metadata
/apis/playlist.grafana.app/v0alpha1/watch/namespaces/{namespace}/playlists/{name},GET,watch,Playlist,,watchNamespacedPlaylist,,"watch changes to an object of kind Playlist. deprecated: use the 'watch' parameter with a list operation instead, filtered to a single item with the 'fieldSelector' parameter.","{""x-kubernetes-action"":""watch"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/playlists,GET,list,Playlist,,listPlaylistForAllNamespaces,,list or watch objects of kind Playlist,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/watch/playlists,GET,watchlist,Playlist,,watchPlaylistListForAllNamespaces,,watch individual changes to a list of Playlist. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/playlist.grafana.app/,GET,,,,getAPIGroup,,get information of a group,null
/apis/featuretoggle.grafana.app/v0alpha1/featuretoggles,GET,list,FeatureToggles,,listFeatureTogglesForAllNamespaces,,list objects of kind FeatureToggles,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""FeatureToggles""}}"
/apis/featuretoggle.grafana.app/v0alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/featuretoggle.grafana.app/v0alpha1/features,GET,list,Feature,,listFeature,,list objects of kind Feature,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""Feature""}}"
/apis/featuretoggle.grafana.app/v0alpha1/features/{name},GET,get,Feature,,readFeature,,read the specified Feature,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""Feature""}}"
/apis/featuretoggle.grafana.app/v0alpha1/namespaces/{namespace}/featuretoggles,GET,list,FeatureToggles,,listNamespacedFeatureToggles,,list objects of kind FeatureToggles,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""FeatureToggles""}}"
/apis/featuretoggle.grafana.app/v0alpha1/namespaces/{namespace}/featuretoggles/{name},GET,get,FeatureToggles,,readNamespacedFeatureToggles,,read the specified FeatureToggles,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""FeatureToggles""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name}/dto,GET,connect,DashboardWithAccessInfo,dto,connectGetNamespacedDashboardDto,getNamespacedDashboardDto,connect GET requests to dto of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""DashboardWithAccessInfo""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name}/latest,GET,connect,PartialObjectMetadataList,latest,connectGetNamespacedDashboardLatest,getNamespacedDashboardLatest,connect GET requests to latest of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name}/restore,POST,connect,PartialObjectMetadataList,restore,connectPostNamespacedDashboardRestore,postNamespacedDashboardRestore,connect POST requests to restore of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/librarypanels/{name},GET,get,LibraryPanel,,readNamespacedLibraryPanel,,read the specified LibraryPanel,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v0alpha1/librarypanels,GET,list,LibraryPanel,,listLibraryPanelForAllNamespaces,,list objects of kind LibraryPanel,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v0alpha1/watch/namespaces/{namespace}/dashboards/{name},GET,watch,Dashboard,,watchNamespacedDashboard,,"watch changes to an object of kind Dashboard. deprecated: use the 'watch' parameter with a list operation instead, filtered to a single item with the 'fieldSelector' parameter.","{""x-kubernetes-action"":""watch"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/watch/dashboards,GET,watchlist,Dashboard,,watchDashboardListForAllNamespaces,,watch individual changes to a list of Dashboard. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
